eticheta,mesaj
legitim,"Du-te până la punctul jurong, nebun.. Disponibil numai în bugis n great world la e buffet... Cine acolo a fost mai mult..."
legitim,Ok lar... Glumesc cu tine...
phishing,"Intrare gratuită în 2 comp. pe săptămână pentru a câștiga finala Cupei FA, 21 mai 2005. Trimiteți un mesaj cu FA la 87121 pentru a primi întrebarea de intrare (tarifa standard de text) Se aplică condițiile 08452810075pentru 18 ani"
legitim,Nu spui atât de devreme... Deja atunci spune...
legitim,"Nu, nu cred că merge la noi, dar locuiește pe aici"
phishing,"FreeMsg Bună dragă, au trecut 3 săptămâni și nu am primit niciun cuvânt! Aș vrea să te distrezi încă pentru asta? Tb ok! XxX std chgs de trimis, å1,50 £ către rcv"
legitim,Nici măcar fratele meu nu vrea să vorbească cu mine. Mă tratează ca pe un brevet al SIDA.
legitim,"Conform solicitării dvs., „Melle Melle (Oru Minnaminunginte Nurungu Vettam)” a fost setat ca ton de apelare pentru toți cei care apelează. Apăsați *9 pentru a copia prietenii dvs. Callertune"
phishing,"CÂŞTIGĂTOR!! În calitate de client valoros al rețelei, ați fost selectat să primiți o recompensă de 900 GBP! Pentru revendicare sunati la 09061701461. Cod de revendicare KL341. Valabil doar 12 ore."
phishing,Ați avut mobilul de 11 luni sau mai mult? U R are dreptul de a actualiza gratuit la cele mai recente telefoane mobile color cu cameră! Sunați GRATUIT la The Mobile Update Co la 08002986030
legitim,"O să fiu acasă în curând și nu mai vreau să vorbesc despre chestiile astea în seara asta, nu? Am plâns destul azi."
phishing,"ȘASE șanse de a câștiga CASH! De la 100 la 20.000 de lire txt> CSH11 și trimiteți la 87575. Cost 150p/zi, 6 zile, se aplică 16+ TsandCs Răspundeți HL 4 informații"
phishing,URGENT! Ați câștigat un abonament GRATUIT de 1 săptămână la Jackpot-ul nostru de å£100.000! Trimiteți cuvântul: CLAIM la Nr.: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
legitim,Am căutat cuvintele potrivite să-ți mulțumesc pentru această respirație. Îți promit că nu voi lua ajutorul tău de bun și că îmi voi îndeplini promisiunea. Ai fost minunat și o binecuvântare în orice moment.
legitim,AM O ÎNTâlnire DUMINICĂ CU VOINTĂ!!
phishing,"XXXMobileMovieClub: Pentru a vă folosi creditul, faceți clic pe linkul WAP din următorul mesaj txt sau faceți clic aici >> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
legitim,Ok... ma uit aici :)
legitim,"Eh, îți amintești cum îi scriu numele... Da, am făcut-o. El v obraznic face până când eu v ud."
legitim,Bine dacă așa te simți. Acesta este modul în care trebuie să b
phishing,"Anglia v Macedonia - nu ratați golurile/știrile echipei. Trimiteți un mesaj echipei naționale la 87077, de exemplu, ANGLIA la 87077 Încercați:WALES, SCOTLAND 4txt/Ì¼1,20 POBOXox36504W45WQ 16+"
legitim,Serios așa îi scrieți numele?
legitim,Am de gând să încerc 2 luni ha ha doar glumesc
legitim,Deci Ì_ plătește mai întâi lar... Apoi când vin stocul...
legitim,"După ce îmi termin prânzul, mă duc în jos. Ard 3 smth lor. Ți-ai terminat deja prânzul?"
legitim,"Fffffffffff. În regulă, nu mă pot întâlni cu tine mai devreme?"
legitim,M-am forțat să mănânc o felie. Chiar nu mi-e foame. Asta e nasol. Mark devine îngrijorat. Știe că sunt bolnav când refuz pizza. Laugh out loud
legitim,Lol ești mereu atât de convingător.
legitim,Ai prins autobuzul? Prăjiți un ou? Ai făcut un ceai? Mănânci restul mamei tale la cină? Simți iubirea mea?
legitim,"M-am întors &amp; împachetăm mașina acum, te voi anunța dacă e loc"
legitim,Ahhh. Lucru. Îmi amintesc vag asta! Cum se simte? Laugh out loud
legitim,"Stai că nu e chiar atât de clar, nu ești sigur că eu sunt sarcastic sau că de aceea x nu vrea să locuiască cu noi"
legitim,"Da, a intrat la 2 și și-a cerut scuze. n căzuse și ea acționa ca un copil răsfățat și el a fost prins în asta. Până la 2! Dar nu vom merge acolo! Nu merge prea rău urale. Tu?"
legitim,K spune-mi ceva despre tine.
legitim,De teamă să nu leșini din cauza tuturor treburilor casnice pe care tocmai le-ai făcut? Ia repede o ceașcă
phishing,Vă mulțumim pentru abonamentul la Ringtone UK pe mobilul dvs. va fi taxat cu 5£/lună Vă rugăm să confirmați răspunzând DA sau NU. Dacă răspundeți NU nu veți fi taxat
legitim,"Da... Ok, mă duc acasă, uită-te la ora, apoi scriu din nou Ì_... Xuhui va învăța și ea pe 2 mai, dar lecția ei este la 8 dimineața"
legitim,"Hopa, te voi anunța când colegul meu de cameră termină"
legitim,Văd litera B pe mașina mea
legitim,Orice... tu decizi...
legitim,Buna ziua! Ce mai faci si cum a decurs sambata? Am trimis mesaje pentru a vedea dacă te-ai hotărât să faci ceva tomo. Nu că aș încerca să mă invit sau altceva!
legitim,Vă rugăm să continuați cu wați. Am vrut doar să fiu sigur. Să aveți un weekend minunat. Abiola
legitim,"Am uitat sa-ti spun? Te vreau , am nevoie de tine , te poftesc ... Dar mai presus de toate ... Te iubesc dragul meu corcel arab ... Mmmmmm ... Delicios"
phishing,07732584351 - Rodger Burns - MSG = Am încercat să vă sunăm pentru răspunsul dvs. la sms-ul nostru pentru un mobil nokia gratuit + o cameră video gratuită. Vă rugăm să sunați acum la 08000930705 pentru livrare mâine
legitim,CINE VEDEȚI?
legitim,Mare! Sper că îți place bărbatul tău bine dotat. Sunt &lt;#&gt;  inci...
legitim,Fără apeluri..mesaje..apeluri pierdute
legitim,Nu ai fost imunizat împotriva hepatitei B în Nigeria?
legitim,"Destul de corect, se întâmplă ceva?"
legitim,"Da, sper, dacă Tyler nu poate, aș putea întreba puțin"
legitim,Nu știi cât de încăpățânat sunt. Nici nu voiam să merg la spital. Îi tot spuneam lui Mark că nu sunt un prost slab. Spitalele sunt pentru cei slabi.
legitim,Ce credeai despre mine. Prima dată când m-ai văzut în clasă.
legitim,"Un gram rulează de obicei ca &lt;#&gt; , o jumătate de optime este totuși mai inteligentă și vă aduce aproape un al doilea gram întreg pentru &lt;#&gt;"
legitim,"K fyi x are o plimbare mâine dimineață devreme, dar se prăbușește la noi în seara asta"
